,NOMBDIST,NOMBPROV,NOMBDEP,POBLACION,DISTANCIA,riesgo
1415,LA VICTORIA,LIMA,LIMA,200770.0,3.4337286081738028,57.71422909848635
1416,MI PERU,CALLAO,CALLAO,50317.0,23.184088432327282,45.2767556270334
1460,LA PERLA,CALLAO,CALLAO,70394.0,10.029145655954553,49.38017239800305
1463,ANCON,LIMA,LIMA,69243.0,38.39304123905233,49.19709709689306
1464,ATE,LIMA,LIMA,642828.0,16.473814082011828,61.34869722946397
1465,CHACLACAYO,LIMA,LIMA,46242.0,29.016828603740183,47.42758743200269
1466,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,440575.0,18.41700245098312,60.26453020868708
1504,MATUCANA,HUAROCHIRI,LIMA,4702.0,75.0049156422501,
1505,CUENCA,HUAROCHIRI,LIMA,483.0,63.44671859626754,37.794607527337035
1506,HUANZA,HUAROCHIRI,LIMA,975.0,83.0795192395862,
1507,CIENEGUILLA,LIMA,LIMA,36780.0,27.552916496585723,46.33652133806482
1508,LURIN,LIMA,LIMA,99846.0,32.49635778754839,59.00932769072798
1721,LANGA,HUAROCHIRI,LIMA,1005.0,72.19053547028142,36.91316964452897
1722,LARAOS,HUAROCHIRI,LIMA,744.0,74.12703053249211,
1723,SAN ANDRES DE TUPICOCHA,HUAROCHIRI,LIMA,1509.0,62.39150584234859,38.089889785429705
1724,SAN ANTONIO,HUAROCHIRI,LIMA,1080.0,37.38464407072596,36.91316964452897
1725,SAN DAMIAN,HUAROCHIRI,LIMA,1371.0,76.21248581007589,
1728,SAN PEDRO DE CASTA,HUAROCHIRI,LIMA,1120.0,60.02698253736877,38.92599608476947
1729,SANTA CRUZ DE COCACHACRA,HUAROCHIRI,LIMA,2869.0,52.536735759773784,38.70879827389533
1730,SANTA EULALIA,HUAROCHIRI,LIMA,14253.0,46.09175828968689,39.01536796208204
1731,SURCO,HUAROCHIRI,LIMA,1675.0,66.09116387011701,37.22390644509514
1732,ARAHUAY,CANTA,LIMA,699.0,58.84580603575013,39.1167267815753
1794,CHORRILLOS,LIMA,LIMA,356549.0,16.710953781026237,60.47510246116892
1863,HUAMANTANGA,CANTA,LIMA,836.0,58.1044272584648,39.105721060151296
1864,SAN BUENAVENTURA,CANTA,LIMA,668.0,77.65474024743862,
1865,SANTA ROSA DE QUIVES,CANTA,LIMA,6484.0,45.841366499123744,39.04105706375232
1874,SANTA MARIA DE HUACHIPA /1,LIMA,LIMA,32826.0,10.718205516556107,49.247477142592075
