,NOMBDIST,NOMBPROV,NOMBDEP,POBLACION,DISTANCIA,riesgo
1274,CERRO COLORADO,AREQUIPA,AREQUIPA,210161.0,195.6917858610234,48.20955453687218
1275,MOLLEBAYA,AREQUIPA,AREQUIPA,5278.0,209.52139571816815,43.300483155052596
1276,SABANDIA,AREQUIPA,AREQUIPA,4635.0,209.92024003784246,43.20175014194901
1277,SAN JUAN DE SIGUAS,AREQUIPA,AREQUIPA,709.0,135.15190160572402,46.069149560458804
1278,ALTO SELVA ALEGRE,AREQUIPA,AREQUIPA,90161.0,205.6088658401028,45.94369659521037
1279,JACOBO HUNTER,AREQUIPA,AREQUIPA,53745.0,199.31161019819885,47.63238522942085
1280,YANAHUARA,AREQUIPA,AREQUIPA,27783.0,199.54545984985208,47.59500535053003
1281,SAN PEDRO DE CACHORA,ABANCAY,APURIMAC,2660.0,301.1280320856582,7.320457589385095
1282,HUANIPACA,ABANCAY,APURIMAC,3054.0,299.3707075486825,7.350196359150395
1283,TALAVERA,ANDAHUAYLAS,APURIMAC,19572.0,279.16676703705554,24.405981271125103
1284,ANCO_HUALLO,CHINCHEROS,APURIMAC,10926.0,289.7664968060819,9.78105774735056
1298,VILLA KINTIARINA,LA CONVENCION,CUSCO,2413.0,358.6524700269789,6.685022976444562
1304,CHUNGUI,LA MAR,AYACUCHO,4717.0,323.60608728696434,6.985812915450425
1308,SAN ANTONIO DE CHUCA,CAYLLOMA,AREQUIPA,1005.0,248.97445666950685,8.369548515519323
1315,TIQUILLACA,PUNO,PUNO,1665.0,335.7349149219175,6.846393767309887
1316,ATUNCOLLA,PUNO,PUNO,4873.0,351.14837578341235,6.721157279786101
1317,CABANA,SAN ROMAN,PUNO,5235.0,338.8121780637757,6.8164161387994255
1324,NICASIO,LAMPA,PUNO,2476.0,348.8378824347308,6.735768323406329
1325,PALCA,LAMPA,PUNO,1951.0,313.5549969643035,7.124339319775831
1326,VILAVILA,LAMPA,PUNO,1322.0,313.91398937245714,7.119065549720753
1329,LLALLI,MELGAR,PUNO,2752.0,294.78922233781697,7.429894098836472
1330,TIRAPATA,AZANGARO,PUNO,3013.0,350.92185356404156,6.722519976841771
1332,AZANGARO,AZANGARO,PUNO,31182.0,375.96791543127824,
1333,ASILLO,AZANGARO,PUNO,15282.0,362.20087642272125,17.671220583883937
1334,MACARI,MELGAR,PUNO,7396.0,309.0202035595761,7.192912859941549
1344,CORANI,CARABAYA,PUNO,4564.0,380.3236235133472,
1346,SIBAYO,CAYLLOMA,AREQUIPA,730.0,216.9861859631704,41.22887471657829
1347,TISCO,CAYLLOMA,AREQUIPA,1681.0,238.9169378894329,27.058311295874912
1438,COCHARCAS,CHINCHEROS,APURIMAC,1812.0,283.35598161670094,7.641540442878387
1439,ABANCAY,ABANCAY,APURIMAC,73742.0,283.9358391430955,24.99608127708293
1440,CCAPI,PARURO,CUSCO,3318.0,293.61252946974815,7.450854182166167
1441,HUANOQUITE,PARURO,CUSCO,5312.0,306.18461051969325,7.237575346191276
1442,OMACHA,PARURO,CUSCO,6142.0,282.05328105069214,7.666737492491818
1443,LIVITACA,CHUMBIVILCAS,CUSCO,12931.0,275.44881040716126,13.782048928529031
1444,URCOS,QUISPICANCHI,CUSCO,12098.0,334.29344340791806,11.827585853733813
1445,ANDAHUAYLILLAS,QUISPICANCHI,CUSCO,6710.0,330.14320675673764,6.906619193984666
1446,ACOMAYO,ACOMAYO,CUSCO,4888.0,311.2342234699691,7.158985549823699
1447,RONDOCAN,ACOMAYO,CUSCO,2120.0,315.0173970043439,7.103001717474632
1448,SANGARARA,ACOMAYO,CUSCO,3544.0,312.61080803880395,7.138319935493227
1449,ACOS,ACOMAYO,CUSCO,2429.0,303.42547623717655,7.282297487982189
1450,PULLO,PARINACOCHAS,AYACUCHO,6918.0,109.9704922582533,55.87781852260687
1451,LAMPA,PAUCAR DEL SARA SARA,AYACUCHO,2082.0,110.95253583445684,55.135852540247534
1452,SANCOS,LUCANAS,AYACUCHO,5229.0,137.57974669158088,46.195134810505
1453,CORACORA,PARINACOCHAS,AYACUCHO,14103.0,151.09193771328907,45.950847839862774
1509,SANTA LUCIA,LUCANAS,AYACUCHO,1401.0,182.34199295478774,47.073140081747894
1510,UPAHUACHO,PARINACOCHAS,AYACUCHO,1222.0,140.81537326191844,46.34214457083105
1511,CORONEL CASTAÑEDA,PARINACOCHAS,AYACUCHO,1876.0,153.8789995520796,46.756651588819246
1512,LUCANAS,LUCANAS,AYACUCHO,2944.0,208.02657043534978,43.66109025876967
1513,CARMEN SALCEDO,LUCANAS,AYACUCHO,1801.0,196.55195457928218,45.65387211571427
1514,CABANA,LUCANAS,AYACUCHO,2135.0,210.79037665920137,42.98237725980327
1515,LARAMATE,LUCANAS,AYACUCHO,1705.0,256.41501032247044,8.201856294696851
1516,SAN PEDRO DE PALCO,LUCANAS,AYACUCHO,971.0,236.89437185229232,29.60523690666891
1517,HUAC-HUAS,LUCANAS,AYACUCHO,1734.0,278.3963749782865,7.738582256853578
